Dept,Percentage,Mean Seconds,StdDev
311 - KB Team,0.008730864197530865,50.42024886877828,73.14529096861364
311 Office,0.01177283950617284,83.62751677852349,584.0996253366915
Administration and Finance - KB Team,0.006074074074074074,45.2739837398374,43.44940538019284
Animal Control - KB Team,0.02429135802469136,68.3167310428949,85.57860211348434
Building - KB Team,0.003017283950617284,47.55973813420622,77.8685795927996
City Clerk - KB Team,0.001402469135802469,68.13732394366197,105.31852484822242
Code Enforcement - KB Team,0.01620246913580247,163.86772325510515,226.14350248689527
DCI - Dispatch,0.006320987654320987,75.415625,128.56509742081664
Danielle Fulmer,0.007046913580246913,90.88717589348283,77.72700471389874
Engineering - KB Team,0.017733333333333334,103.9551656920078,174.73987334754
Fire Department - KB Team,0.0007358024691358025,57.06711409395973,69.54413963200503
Kheran Joseph,0.0009679012345679012,168.6377551020408,489.8014421386369
Legal - KB Team,0.0020592592592592594,93.30935251798562,423.96441447844524
Lucy Macfarlane,0.043807407407407406,44.60466689212039,106.56298060320185
Matt Coats,0.0003654320987654321,86.58108108108108,120.06299793353428
Mayor's Office - KB Team,0.016370370370370372,121.2660633484163,188.36181888471089
Parks - KB Team,0.006301234567901235,130.4843260188088,155.9614650407691
Police Department - KB Team,0.0040296296296296295,97.90196078431373,904.1309817135514
Public Works - KB Team,8.395061728395062e-05,76.17647058823529,117.99853563398449
Sa- Adoxio,0.06075061728395062,50.00162575191026,84.63042450999774
Solid Waste - KB Team,0.36572345679012347,92.49575338581401,140.9698150107045
Streets - KB Team,0.08804938271604938,101.49007291082445,141.6275522296369
Water Works - KB Team,0.30816296296296297,91.20551896543435,148.27818409286286
